accuracy,precision,recall,f1,mcc,balanced_accuracy,gmean,fbeta_2,brier,roc_auc,pr_auc,scenario,model,fold
0.9982619992275552,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017380007724447878,0.5,0.0017380007724447878,sem_balanceamento,dummy,1
0.9982619992275552,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017380007724447878,0.5,0.0017380007724447878,sem_balanceamento,dummy,2
0.9982795245869981,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017204754130018785,0.5,0.0017204754130018785,sem_balanceamento,dummy,3
0.9982795245869981,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017204754130018785,0.5,0.0017204754130018785,sem_balanceamento,dummy,4
0.9982795245869981,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0017204754130018785,0.5,0.0017204754130018785,sem_balanceamento,dummy,5
0.9991046662687406,0.875,0.5656565656565656,0.6871165644171779,0.7031351292773665,0.7827579383160341,0.752048525020921,0.6086956521739131,0.0007796826668071813,0.9782569731218238,0.7251468767274895,sem_balanceamento,logistic_regression,1
0.9991397773954567,0.8378378378378378,0.6262626262626263,0.7167630057803468,0.7239630711406858,0.81302579636294,0.791284060148866,0.6595744680851063,0.000719778118762256,0.9842609482973165,0.7642723791583198,sem_balanceamento,logistic_regression,2
0.9991573181650603,0.8787878787878788,0.5918367346938775,0.7073170731707317,0.7208046346032024,0.79584802283469,0.7692551395739984,0.6331877729257642,0.0006866061136290034,0.9787468053362773,0.7803348093931118,sem_balanceamento,logistic_regression,3
0.9993153210091115,0.9402985074626866,0.6428571428571429,0.7636363636363637,0.7771846872482175,0.8213933991724471,0.8017555246987594,0.6862745098039216,0.0006409198224287673,0.9659579217790559,0.7782552189642427,sem_balanceamento,logistic_regression,4
0.9992977651375503,0.881578947368421,0.6836734693877551,0.7701149425287356,0.7760155395350763,0.8417575971175977,0.8267800559187956,0.7158119658119658,0.0006540727053517312,0.9640819484855652,0.755321929589351,sem_balanceamento,logistic_regression,5
0.9992802219023208,0.9142857142857143,0.6464646464646465,0.757396449704142,0.7684785475016439,0.8231795648481367,0.8039878317513792,0.6866952789699571,0.0006314830036350607,0.9335942475242196,0.7887762262198593,sem_balanceamento,svm_rbf,1
0.999385555282469,0.9848484848484849,0.6565656565656566,0.7878787878787878,0.8038706558803882,0.8282740352187972,0.8102802664004221,0.7034632034632035,0.00045147471717507486,0.9493475102394786,0.8565485486596903,sem_balanceamento,svm_rbf,2
0.999420656238479,0.9710144927536232,0.6836734693877551,0.8023952095808383,0.8145245148091721,0.8418191485658153,0.8268309519178538,0.7266811279826464,0.00037835889671641404,0.9731048883334703,0.8323123231120704,sem_balanceamento,svm_rbf,3
0.9993855444953564,0.9701492537313433,0.6632653061224489,0.7878787878787878,0.8019024433758228,0.8316150669331623,0.8143966954655597,0.7080610021786492,0.00045319337384785513,0.9536962631631272,0.8303503591756236,sem_balanceamento,svm_rbf,4
