scenario,model,accuracy_mean,pr_auc_mean,recall_mean,balanced_accuracy_mean,mcc_mean
sem_balanceamento,svm_rbf,0.9993679933084841,0.8188107491472932,0.6667285095856524,0.8333361169879268,0.7972220715989338
sem_balanceamento,logistic_regression,0.9992029695951838,0.760666242766503,0.6220573077715935,0.8109565507607417,0.7402206123609097
sem_balanceamento,dummy,0.9982725144432208,0.001727485556779042,0.0,0.5,0.0
smote,dummy,0.9982725144432208,0.001727485556779042,0.0,0.5,0.0
undersampling,dummy,0.9982725144432208,0.001727485556779042,0.0,0.5,0.0
undersampling,svm_rbf,0.985927305262706,0.6747125972203157,0.8780457637600495,0.9320798785210742,0.29389976049447786
smote,svm_rbf,0.9854568177057269,0.6642246797480944,0.8699649556792414,0.9278108548158619,0.2853337589936087
smote,logistic_regression,0.9747232266857809,0.7311520288176124,0.912533498247784,0.9436821158825927,0.22879784582105023
undersampling,logistic_regression,0.9679712911860763,0.6993240129522433,0.9145949288806431,0.9413292601598581,0.20505281730829544
